Date,Time,Currency,Event,Previous,Forecast,Actual
,,
,23:00,AUD,Markit Manufacturing PMI Flash,,,
,23:00,AUD,S&P Global Services PMI Flash,50.9,,49.6
,23:00,AUD,S&P Global Manufacturing PMI Flash,55.7,,54.5
"Aug 29, 2022",01:30,AUD,Retail Sales MoM Prel,0.2%,0.3%,1.3%
"Aug 30, 2022",01:30,AUD,Building Permits MoM,-0.6%,-2%,-17.2%
"Aug 31, 2022",01:30,AUD,Construction Work Done QoQ,-0.9%,,
,01:30,AUD,Building Permits MoM Prel,,,
,22:30,AUD,Ai Group Manufacturing Index,,,
,23:00,AUD,S&P Global Manufacturing PMI Final,,,
,23:00,AUD,Markit Manufacturing PMI Final,,,
"Sep 01, 2022",01:30,AUD,Investment Lending for Homes,-6.3%,,-11.2%
,01:30,AUD,Home Loans MoM,-3.3%,-3%,-7.0%
"Sep 04, 2022",23:00,AUD,Markit Services PMI Final,,,
,23:00,AUD,S&P Global Services PMI Final,50.9,,50.2
"Sep 05, 2022",01:30,AUD,Company Gross Profits QoQ,9.8%,4%,7.6%
,01:30,AUD,Retail Sales MoM Final,0.2%,1.3%,1.3%
"Sep 06, 2022",04:30,AUD,RBA Interest Rate Decision,1.85%,2.35%,2.35%
,22:30,AUD,Ai Group Services Index,51.7,,53.3
"Sep 07, 2022",01:30,AUD,GDP Growth Rate YoY,3.3%,3.5%,3.6%
,01:30,AUD,GDP Growth Rate QoQ,0.7%,1%,0.9%
,01:30,AUD,Building Permits MoM Final,,,
"Sep 08, 2022",01:30,AUD,Balance of Trade,A$17.13B,A$14.5B,A$8.733B
,03:05,AUD,RBA Gov Lowe Speech,,,
"Sep 13, 2022",00:30,AUD,Westpac Consumer Confidence Index,81.2,,84.4
,00:30,AUD,Westpac Consumer Confidence Change,-3%,,3.9%
,01:30,AUD,NAB Business Confidence,8,,10
"Sep 14, 2022",02:30,AUD,HIA New Home Sales MoM,-13.1%,,-16.0%
"Sep 15, 2022",01:30,AUD,Part Time Employment Chg,46K,,-25.3K
,01:30,AUD,Full Time Employment Chg,-86.9K,,58.8K
,01:30,AUD,Unemployment Rate,3.4%,3.4%,3.5%
,01:30,AUD,RBA Bulletin,,,
,01:30,AUD,Employment Change,-41.0K,35K,33.5K
"Sep 20, 2022",01:30,AUD,RBA Meeting Minutes,,,
"Sep 21, 2022",02:00,AUD,RBA Bullock Speech,,,
"Sep 22, 2022",23:00,AUD,Markit Manufacturing PMI Flash,,,
,23:00,AUD,Markit Services PMI Flash,,,
,23:00,AUD,S&P Global Services PMI Flash,50.2,,50.4
,23:00,AUD,S&P Global Manufacturing PMI Flash,53.8,,53.9
"Sep 28, 2022",01:30,AUD,Retail Sales MoM Prel,1.3%,0.4%,0.6%
"Oct 01, 2022",08:20,AUD,RBA Gov Lowe Speech,,,
"Oct 02, 2022",22:00,AUD,S&P Global Manufacturing PMI Final,53.8,,53.5
"Oct 03, 2022",21:30,AUD,Ai Group Manufacturing Index,49.3,,50.2
"Oct 04, 2022",00:30,AUD,Investment Lending for Homes,-11.2%,,-4.8%
,00:30,AUD,Building Permits MoM Prel,-18.2%,5%,28.1%
,00:30,AUD,Home Loans MoM,-7.0%,-3.5%,-2.7%
,01:30,AUD,Building Permits MoM,,,
,03:30,AUD,RBA Interest Rate Decision,2.35%,2.85%,2.6%
,22:00,AUD,S&P Global Services PMI Final,50.4,,50.6
"Oct 05, 2022",00:30,AUD,Retail Sales MoM Final,1.3%,,0.6%
"Oct 06, 2022",00:30,AUD,Balance of Trade,A$8.967B,A$10.1B,A$8.324B
"Oct 07, 2022",00:30,AUD,Building Permits MoM Final,,,
,00:30,AUD,RBA Financial Stability Review,,,
"Oct 09, 2022",21:30,AUD,Ai Group Services Index,53.3,,48
"Oct 10, 2022",23:30,AUD,Westpac Consumer Confidence Index,84.4,,83.7
,23:30,AUD,Westpac Consumer Confidence Change,3.9%,,-0.9%
"Oct 11, 2022",00:30,AUD,NAB Business Confidence,10,,5
,00:30,AUD,Building Permits MoM Final,-18.2%,,28.1%
,22:00,AUD,RBA Ellis Speech,,,
"Oct 12, 2022",07:00,AUD,HIA New Home Sales MoM,,,
"Oct 18, 2022",00:05,AUD,RBA Bullock Speech,,,
,00:30,AUD,RBA Meeting Minutes,,,
"Oct 20, 2022",00:30,AUD,Employment Change,36.3K,25K,0.9K
,00:30,AUD,Unemployment Rate,3.5%,3.5%,3.5%
,00:30,AUD,Part Time Employment Chg,-18.7K,,-12.4K
,00:30,AUD,Full Time Employment Chg,55.0K,,13.3K
"Oct 23, 2022",22:00,AUD,S&P Global Manufacturing PMI Flash,53.5,,52.8
,22:00,AUD,S&P Global Services PMI Flash,50.6,,49
,22:05,AUD,RBA Kent Speech,,,
"Oct 25, 2022",08:30,AUD,Federal Budget,,,
"Oct 26, 2022",00:30,AUD,Inflation Rate QoQ,1.8%,1.6%,1.8%
,00:30,AUD,Monthly CPI Indicator,6.9%,,7.3%
,00:30,AUD,Inflation Rate YoY,6.1%,7%,7.3%
"Oct 27, 2022",04:30,AUD,Annual Report 2022,,,
"Oct 28, 2022",00:30,AUD,PPI QoQ,1.4%,,1.9%
"Oct 31, 2022",00:30,AUD,Retail Sales MoM Prel,0.6%,0.6%,0.6%
,22:00,AUD,S&P Global Manufacturing PMI Final,53.5,,
"Nov 01, 2022",03:30,AUD,RBA Interest Rate Decision,2.6%,2.85%,2.85%
