Date,Time,Currency,Event,Previous,Forecast,Actual
,,
,07:15,EUR,Markit Manufacturing PMI Flash,,,
,07:15,EUR,S&P Global Manufacturing PMI Flash,49.5,49,49
,07:15,EUR,S&P Global Services PMI Flash,53.2,53,51
,07:30,EUR,S&P Global Services PMI Flash,49.7,49,48.2
,07:30,EUR,Markit Services PMI Flash,,,
,07:30,EUR,S&P Global Manufacturing PMI Flash,49.3,48.2,49.8
,07:30,EUR,Markit Manufacturing PMI Flash,,,
,07:30,EUR,S&P Global/BME Manufacturing PMI Flash,,,
,08:00,EUR,Markit Manufacturing PMI Flash,,,
,08:00,EUR,Markit Services PMI Flash,,,
,08:00,EUR,S&P Global Services PMI Flash,51.2,50.5,50.2
,08:00,EUR,S&P Global Manufacturing PMI Flash,49.8,49,49.7
,14:00,EUR,Consumer Confidence Flash,-27,-28,-24.9
"Aug 24, 2022",09:30,EUR,10-Year Bund Auction,0.94%,,1.33%
"Aug 25, 2022",06:00,EUR,GDP Growth Rate YoY Final,3.6%,1.4%,1.7%
,06:00,EUR,GDP Growth Rate QoQ Final,0.8%,0%,0.1%
,06:45,EUR,Business Confidence,106,104,104
,08:00,EUR,Ifo Business Climate,88.7,86.8,88.5
,10:00,EUR,Unemployment Benefit Claims,13.6K,,20.3K
,11:30,EUR,ECB Monetary Policy Meeting Accounts,,,
"Aug 26, 2022",06:00,EUR,GfK Consumer Confidence,-30.9,-31.8,-36.5
,06:45,EUR,Consumer Confidence,80,79,82
"Aug 30, 2022",09:00,EUR,Economic Sentiment,98.9,98,97.6
,12:00,EUR,Inflation Rate YoY Prel,7.5%,7.8%,7.9%
,12:00,EUR,Inflation Rate MoM Prel,0.9%,0.3%,0.3%
"Aug 31, 2022",06:45,EUR,Inflation Rate YoY Prel,,,
,06:45,EUR,GDP Growth Rate YoY Final,,,
,06:45,EUR,Inflation Rate MoM Prel,,,
,06:45,EUR,GDP Growth Rate QoQ Final,,,
,07:55,EUR,Unemployment Rate,,,
,07:55,EUR,Unemployment Change,,,
,07:55,EUR,Unemployed Persons,,,
,09:00,EUR,Inflation Rate YoY Flash,,,
,09:00,EUR,Core Inflation Rate YoY Flash,,,
,09:00,EUR,Inflation Rate MoM Flash,,,
"Sep 01, 2022",06:00,EUR,Retail Sales MoM,-1.5%,0%,1.9%
,06:00,EUR,Retail Sales YoY,-9.6%,-6.5%,-2.6%
,07:50,EUR,S&P Global Manufacturing PMI Final,49.5,49,50.6
,07:55,EUR,Markit Manufacturing PMI Final,,,
,07:55,EUR,S&P Global Manufacturing PMI Final,49.3,49.8,49.1
,07:55,EUR,Markit Manufacturing PMI Flash,,,
,08:00,EUR,S&P Global Manufacturing PMI Final,49.8,49.7,49.6
,08:00,EUR,Markit Manufacturing PMI Final,,,
,09:00,EUR,Unemployment Rate,6.7%,6.6%,6.6%
"Sep 02, 2022",06:00,EUR,Balance of Trade,€7.7B,,€4.9B
"Sep 05, 2022",07:50,EUR,S&P Global Services PMI Final,53.2,51,51.2
,07:55,EUR,Markit Services PMI Final,,,
,07:55,EUR,S&P Global Services PMI Final,49.7,48.2,47.7
,08:00,EUR,Markit Services PMI Flash,,,
,08:00,EUR,S&P Global Services PMI Final,51.2,50.2,49.8
,09:00,EUR,Retail Sales YoY,-3.2%,-0.7%,-0.9%
,09:00,EUR,Retail Sales MoM,-1%,0.4%,0.3%
"Sep 06, 2022",06:00,EUR,Factory Orders MoM,-0.3%,-0.5%,-1.1%
,07:30,EUR,Construction PMI,,,
,07:30,EUR,S&P Global Construction PMI,43.7,,42.6
"Sep 07, 2022",06:00,EUR,Industrial Production MoM,0.8%,-0.5%,-0.3%
,09:00,EUR,GDP Growth Rate YoY 3rd Est,5.4%,3.9%,4.1%
,09:00,EUR,Employment Change YoY Final,3.1%,2.4%,2.7%
,09:00,EUR,Employment Change QoQ Final,0.7%,0.3%,0.4%
,09:00,EUR,GDP Growth Rate QoQ 3rd Est,0.7%,0.6%,0.8%
"Sep 08, 2022",06:45,EUR,Balance of Trade,€-13.08B,€-13.56B,€-14.54B
,12:15,EUR,Deposit Facility Rate,0%,0.5%,0.75%
,12:15,EUR,ECB Interest Rate Decision,0.5%,1.25%,1.25%
,12:45,EUR,ECB Press Conference,,,
,13:45,EUR,ECB Macroeconomic Projections,,,
,14:15,EUR,ECB President Lagarde Speech,,,
"Sep 09, 2022",00:00,EUR,Eurogroup Meeting,,,
,06:45,EUR,Industrial Production MoM,1.2%,-0.5%,-1.6%
"Sep 13, 2022",06:00,EUR,Inflation Rate MoM Final,0.9%,0.3%,0.3%
,06:00,EUR,Inflation Rate YoY Final,7.5%,7.9%,7.9%
,09:00,EUR,ZEW Economic Sentiment Index,-55.3,-60,-61.9
,09:00,EUR,ZEW Economic Sentiment Index,-54.9,-58.3,-60.7
"Sep 14, 2022",08:00,EUR,IEA Oil Market Report,,,
,09:00,EUR,Industrial Production MoM,1.1%,-1%,-2.3%
"Sep 15, 2022",06:00,EUR,Wholesale Prices YoY,19.5%,,18.9%
,06:00,EUR,Wholesale Prices MoM,-0.4%,,0.1%
,06:45,EUR,Inflation Rate MoM Final,0.3%,0.4%,0.5%
,06:45,EUR,Inflation Rate YoY Final,6.1%,5.8%,5.9%
,09:00,EUR,Balance of Trade,€-25.4B,,€-34B
"Sep 16, 2022",09:00,EUR,Inflation Rate YoY Final,8.9%,9.1%,9.1%
"Sep 19, 2022",09:00,EUR,Construction Output YoY,1.3%,,1.5%
"Sep 20, 2022",06:00,EUR,PPI MoM,5.3%,1.6%,7.9%
,17:00,EUR,ECB President Lagarde Speech,,,
"Sep 21, 2022",07:00,EUR,ECB Non-Monetary Policy Meeting,,,
,09:30,EUR,10-Year Bund Auction,1.33%,,1.87%
"Sep 22, 2022",06:45,EUR,Business Confidence,103,102,102
,07:00,EUR,ECB General Council Meeting,,,
,08:00,EUR,ECB Economic Bulletin,,,
,14:00,EUR,Consumer Confidence Flash,-25.0,-25.8,-28.8
"Sep 23, 2022",07:15,EUR,S&P Global Services PMI Flash,51.2,50.5,53
,07:15,EUR,S&P Global Manufacturing PMI Flash,50.6,49.8,47.8
,07:30,EUR,S&P Global Services PMI Flash,47.7,47.2,45.4
,07:30,EUR,Markit Manufacturing PMI Flash,,,
,07:30,EUR,S&P Global Manufacturing PMI Flash,49.1,48.3,48.3
,07:30,EUR,Markit Manufacturing PMI Flash,,,
,07:30,EUR,Markit Services PMI Flash,,,
,08:00,EUR,S&P Global Manufacturing PMI Flash,49.6,48.7,48.5
,08:00,EUR,Markit Manufacturing PMI Flash,,,
,08:00,EUR,Markit Services PMI Flash,,,
,08:00,EUR,S&P Global Services PMI Flash,49.8,49,48.9
"Sep 26, 2022",08:00,EUR,Ifo Business Climate,88.6,87,84.3
,13:00,EUR,ECB President Lagarde Speech,,,
"Sep 27, 2022",10:00,EUR,Unemployment Benefit Claims,20.3K,,-1K
,11:30,EUR,ECB President Lagarde Speech,,,
"Sep 28, 2022",06:00,EUR,GfK Consumer Confidence,-36.8,-39,-42.5
,06:45,EUR,Consumer Confidence,82,80,79
,07:15,EUR,ECB President Lagarde Speech,,,
"Sep 29, 2022",09:00,EUR,Economic Sentiment,97.3,95,93.7
,12:00,EUR,Inflation Rate MoM Prel,0.3%,1.3%,1.9%
,12:00,EUR,Inflation Rate YoY Prel,7.9%,9.4%,10%
,17:00,EUR,ECB Lane Speech,,,
"Sep 30, 2022",06:45,EUR,Inflation Rate MoM Prel,,,
,06:45,EUR,Inflation Rate YoY Prel,,,
,07:55,EUR,Unemployment Rate,,,
,07:55,EUR,Unemployment Change,,,
,07:55,EUR,Unemployed Persons,,,
,09:00,EUR,Inflation Rate YoY Flash,,,
,09:00,EUR,Unemployment Rate,,,
,09:00,EUR,Inflation Rate MoM Flash,,,
,09:00,EUR,Core Inflation Rate YoY Flash,,,
"Oct 03, 2022",00:00,EUR,Eurogroup Meeting,,,
,07:50,EUR,S&P Global Manufacturing PMI Final,50.6,47.8,47.7
,07:55,EUR,S&P Global Manufacturing PMI Final,49.1,48.3,47.8
,08:00,EUR,S&P Global Manufacturing PMI Final,49.6,48.5,48.4
"Oct 04, 2022",15:00,EUR,ECB President Lagarde Speech,,,
"Oct 05, 2022",06:00,EUR,Balance of Trade,€4.9B,,€0.6B
,06:45,EUR,Industrial Production MoM,-1.6%,0%,2.4%
,07:00,EUR,ECB Non-Monetary Policy Meeting,,,
,07:50,EUR,S&P Global Services PMI Final,51.2,53,52.9
,07:55,EUR,S&P Global Services PMI Final,47.7,45.4,45
,08:00,EUR,S&P Global Services PMI Final,49.8,48.9,48.8
"Oct 06, 2022",06:00,EUR,Factory Orders MoM,1.9%,-0.7%,-2.4%
,07:30,EUR,S&P Global Construction PMI,42.6,,41.8
,09:00,EUR,Retail Sales MoM,-0.4%,-0.4%,-0.3%
,09:00,EUR,Retail Sales YoY,-1.2%,-1.7%,-2%
,11:30,EUR,ECB Monetary Policy Meeting Accounts,,,
"Oct 07, 2022",06:00,EUR,Retail Sales MoM,0.7%,-1.1%,-1.3%
,06:00,EUR,Retail Sales YoY,-2.6%,-4.3%,-4.3%
,06:00,EUR,Industrial Production MoM,0%,-0.5%,-0.8%
,06:45,EUR,Balance of Trade,€-14.79B,€-14.83B,€-15.3B
"Oct 10, 2022",13:00,EUR,ECB Lane Speech,,,
"Oct 12, 2022",09:00,EUR,Industrial Production MoM,-2.3%,0.6%,1.5%
,09:30,EUR,10-Year Bund Auction,1.87%,,2.33%
,13:30,EUR,ECB President Lagarde Speech,,,
"Oct 13, 2022",06:00,EUR,Inflation Rate YoY Final,7.9%,10%,10%
,06:00,EUR,Inflation Rate MoM Final,0.3%,1.9%,1.9%
,08:00,EUR,IEA Oil Market Report,,,
"Oct 14, 2022",06:00,EUR,Wholesale Prices MoM,0.1%,,1.6%
,06:00,EUR,Wholesale Prices YoY,18.9%,,19.9%
,06:45,EUR,Inflation Rate MoM Final,0.5%,-0.5%,-0.6%
,06:45,EUR,Inflation Rate YoY Final,5.9%,5.6%,5.6%
,09:00,EUR,Balance of Trade,€-34B,,€-50.9B
"Oct 18, 2022",09:00,EUR,ZEW Economic Sentiment Index,-60.7,-61.2,-59.7
,09:00,EUR,ZEW Economic Sentiment Index,-61.9,-65.7,-59.2
,10:50,EUR,ECB Makhlouf Speech,,,
,10:50,EUR,ECB Herodotou Speech,,,
,16:00,EUR,ECB Schnabel Speech,,,
,17:00,EUR,ECB Nagel Speech,,,
"Oct 19, 2022",09:00,EUR,Inflation Rate YoY Final,9.1%,10%,9.9%
,09:00,EUR,Construction Output YoY,2.1%,,2.3%
"Oct 20, 2022",06:00,EUR,PPI MoM,7.9%,1.3%,2.3%
,06:45,EUR,Business Confidence,102,101,103
"Oct 21, 2022",14:00,EUR,Consumer Confidence Flash,-28.8,-30,-27.6
"Oct 22, 2022",09:00,EUR,ECB President Lagarde Speech,,,
"Oct 24, 2022",07:15,EUR,S&P Global Manufacturing PMI Flash,47.7,47.1,47.4
,07:15,EUR,S&P Global Services PMI Flash,52.9,51.5,51.3
,07:30,EUR,S&P Global Services PMI Flash,45,44.7,44.9
,07:30,EUR,S&P Global Manufacturing PMI Flash,47.8,47,45.7
,08:00,EUR,S&P Global Manufacturing PMI Flash,48.4,47.8,46.6
,08:00,EUR,S&P Global Services PMI Flash,48.8,48.2,48.2
"Oct 25, 2022",08:00,EUR,Ifo Business Climate,84.4,83.3,84.3
"Oct 26, 2022",06:45,EUR,Consumer Confidence,79,77,82
,10:00,EUR,Unemployment Benefit Claims,-1K,,-60K
"Oct 27, 2022",06:00,EUR,GfK Consumer Confidence,-42.8,-41.9,-41.9
,12:15,EUR,Deposit Facility Rate,0.75%,1.5%,1.5%
,12:15,EUR,ECB Interest Rate Decision,1.25%,2%,2%
,12:45,EUR,ECB Press Conference,,,
,14:15,EUR,ECB President Lagarde Speech,,,
"Oct 28, 2022",05:30,EUR,GDP Growth Rate QoQ Prel,0.5%,0.2%,0.2%
,05:30,EUR,GDP Growth Rate YoY Prel,4.2%,1%,1.0%
,06:45,EUR,Inflation Rate MoM Prel,-0.6%,0.5%,1%
