Date,Time,Currency,Event,Previous,Forecast,Actual
I Flash,,,
,08:30,GBP,Markit/CIPS Manufacturing PMI Flash,,,
,08:30,GBP,S&P Global/CIPS Manufacturing PMI Flash,52.1,51.1,46
,08:30,GBP,S&P Global/CIPS UK Services PMI Flash,52.6,52,52.5
,10:00,GBP,CBI Industrial Trends Orders,8,3,-7
"Aug 25, 2022",10:00,GBP,CBI Distributive Trades,-4,-7,37
"Aug 30, 2022",08:30,GBP,BoE Consumer Credit,£1.772B,£1.5B,£1.425B
,08:30,GBP,Mortgage Lending,£5.308B,£5.05B,£5.051B
,08:30,GBP,Mortgage Approvals,63.184K,61.725K,63.77K
"Sep 01, 2022",06:00,GBP,Nationwide Housing Prices YoY,11%,8.9%,10%
,06:00,GBP,Nationwide Housing Prices MoM,0.2%,0.1%,0.8%
,08:30,GBP,Markit/CIPS Manufacturing PMI Flash,,,
,08:30,GBP,S&P Global/CIPS Manufacturing PMI Final,52.1,46,47.3
"Sep 05, 2022",08:30,GBP,S&P Global/CIPS UK Services PMI Final,52.6,52.5,50.9
,08:30,GBP,Markit/CIPS UK Services PMI Final,,,
,23:01,GBP,BRC Retail Sales Monitor YoY,1.6%,,0.5%
"Sep 06, 2022",08:30,GBP,Construction PMI,,,
,08:30,GBP,S&P Global/CIPS Construction PMI,48.9,48,49.2
"Sep 07, 2022",06:00,GBP,Halifax House Price Index YoY,11.8%,,11.5%
,06:00,GBP,Halifax House Price Index MoM,-0.1%,,0.4%
,09:00,GBP,BoE Gov Bailey Speech,,,
"Sep 12, 2022",06:00,GBP,Goods Trade Balance,£-22.847B,£-22.4B,£-19.362B
,06:00,GBP,Industrial Production YoY,2.4%,1.9%,1.1%
,06:00,GBP,GDP MoM,-0.6%,0.4%,0.2%
,06:00,GBP,Goods Trade Balance Non-EU,£-12.29B,,£-10.194B
,06:00,GBP,Construction Output YoY,4.1%,5.6%,4.3%
,06:00,GBP,Balance of Trade,£-11.387B,,£-7.793B
,06:00,GBP,Manufacturing Production YoY,1.3%,1.6%,1.1%
,06:00,GBP,GDP 3-Month Avg,-0.1%,0.1%,0%
"Sep 13, 2022",06:00,GBP,Claimant Count Change,-10.5K,,6.3K
,06:00,GBP,Unemployment Rate,3.8%,3.8%,3.6%
,06:00,GBP,Average Earnings incl. Bonus,,,
,06:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),5.2%,5.4%,5.5%
,06:00,GBP,Employment Change,160K,128K,40K
,08:00,GBP,BoE Gov Bailey Speech,,,
