Date,Time,Currency,Event,Previous,Forecast,Actual
ity Index,-0.25,,0.27
"Aug 23, 2022",13:45,USD,S&P Global Composite PMI Flash,47.7,,45
,13:45,USD,S&P Global Services PMI Flash,47.3,49.2,44.1
,13:45,USD,S&P Global Manufacturing PMI Flash,52.2,52,51.3
,13:45,USD,Markit Composite PMI Flash,,,
,13:45,USD,Markit Services PMI Flash,,,
,13:45,USD,Markit Manufacturing PMI Flash,,,
,14:00,USD,New Home Sales,0.585M,0.575M,0.511M
,14:00,USD,New Home Sales MoM,-7.1%,,-12.6%
,20:30,USD,API Crude Oil Stock Change,-0.448M,,-5.632M
,23:00,USD,Fed Kashkari Speech,,,
"Aug 24, 2022",12:30,USD,Durable Goods Orders Ex Transp MoM,0.3%,0.2%,0.3%
,12:30,USD,Durable Goods Orders MoM,2.2%,0.6%,0%
,14:00,USD,Pending Home Sales MoM,-8.9%,-4%,-1%
,14:00,USD,Pending Home Sales YoY,-20.2%,,-19.9%
,14:30,USD,EIA Crude Oil Stocks Change,-7.056M,-0.933M,-3.282M
,14:30,USD,EIA Gasoline Stocks Change,-4.642M,-1.464M,-0.027M
"Aug 25, 2022",00:00,USD,Jackson Hole Economic Symposium,,,
,12:30,USD,Corporate Profits QoQ Prel,-4.9%,,9.1%
,12:30,USD,GDP Price Index QoQ 2nd Est,8.3%,8.7%,9%
,12:30,USD,Initial Jobless Claims,245K,253K,243K
,12:30,USD,GDP Growth Rate QoQ 2nd Est,-1.6%,-0.8%,-0.6%
"Aug 26, 2022",00:00,USD,Jackson Hole Economic Symposium,,,
,12:30,USD,Retail Inventories Ex Autos MoM Adv,1.5%,,0.4%
,12:30,USD,PCE Price Index YoY,6.8%,,6.3%
,12:30,USD,Goods Trade Balance Adv,$-98.59B,,$-89.06B
,12:30,USD,Personal Spending MoM,1%,0.4%,0.1%
,12:30,USD,PCE Price Index MoM,1%,,-0.1%
,12:30,USD,Personal Income MoM,0.7%,0.6%,0.2%
,12:30,USD,Wholesale Inventories MoM Adv,1.9%,,0.8%
,14:00,USD,Fed Chair Powell Speech,,,
,14:00,USD,Michigan Consumer Sentiment Final,51.5,55.2,58.2
"Aug 27, 2022",00:00,USD,Jackson Hole Economic Symposium,,,
"Aug 29, 2022",14:30,USD,Dallas Fed Manufacturing Index,-22.6,,-12.9
,18:15,USD,Fed Brainard Speech,,,
"Aug 30, 2022",12:00,USD,Fed Barkin Speech,,,
,13:00,USD,S&P/Case-Shiller Home Price YoY,20.5%,19.5%,18.6%
,13:00,USD,S&P/Case-Shiller Home Price MoM,1.5%,,0.4%
,14:00,USD,CB Consumer Confidence,95.3,97.7,103.2
,14:00,USD,JOLTs Job Openings,11.040M,10.45M,11.239M
,15:00,USD,Fed Williams Speech,,,
,20:30,USD,API Crude Oil Stock Change,-5.632M,-0.633M,0.593M
"Aug 31, 2022",12:15,USD,ADP Employment Change,128K,200K,
,12:15,USD,ADP Employment Change,,,
,12:15,USD,ADP Employment Change,,,
,13:45,USD,Chicago PMI,,,
,14:30,USD,EIA Crude Oil Stocks Change,,,
,14:30,USD,EIA Gasoline Stocks Change,,,
"Sep 01, 2022",12:30,USD,Initial Jobless Claims,237K,248K,232K
,12:30,USD,Unit Labour Costs QoQ Final,12.7%,10.7%,10.2%
,12:30,USD,Nonfarm Productivity QoQ Final,-7.4%,-4.5%,-4.1%
,13:45,USD,S&P Global Manufacturing PMI Final,52.2,51.3,51.5
,13:45,USD,Markit Manufacturing PMI Final,,,
,14:00,USD,ISM Manufacturing PMI,52.8,52,52.8
,14:00,USD,ISM Manufacturing Employment,49.9,49,54.2
,19:30,USD,Fed Bostic Speech,,,
"Sep 02, 2022",12:30,USD,Average Hourly Earnings YoY,5.2%,5.3%,5.2%
,12:30,USD,Participation Rate,62.1%,,62.4%
,12:30,USD,Unemployment Rate,3.5%,3.5%,3.7%
,12:30,USD,Average Hourly Earnings MoM,0.5%,0.4%,0.3%
,12:30,USD,Non Farm Payrolls,526K,300K,315K
,14:00,USD,Factory Orders MoM,1.8%,0.2%,-1%
"Sep 06, 2022",13:45,USD,S&P Global Services PMI Final,47.3,44.8,43.7
,13:45,USD,Markit Services PMI Final,,,
,13:45,USD,S&P Global Composite PMI Final,47.7,45,44.6
,13:45,USD,Markit Composite PMI Flash,,,
,14:00,USD,ISM Non-Manufacturing PMI,56.7,55.1,56.9
,14:00,USD,ISM Non-Manufacturing Employment,49.1,,50.2
"Sep 07, 2022",12:30,USD,Balance of Trade,$-80.9B,$-70.3B,$-70.7B
,12:30,USD,Exports,$258.8B,,$259.3B
,12:30,USD,Imports,$339.6B,,$329.9B
,13:00,USD,Fed Barkin Speech,,,
,14:00,USD,Fed Mester Speech,,,
,16:35,USD,Fed Brainard Speech,,,
,20:30,USD,API Crude Oil Stock Change,0.593M,-0.733M,3.645M
"Sep 08, 2022",12:30,USD,Initial Jobless Claims,228K,240K,222K
,13:10,USD,Fed Powell Speech,,,
,15:00,USD,EIA Crude Oil Stocks Change,-3.326M,-0.25M,8.844M
,15:00,USD,EIA Gasoline Stocks Change,-1.172M,-1.667M,0.333M
"Sep 09, 2022",14:00,USD,Wholesale Inventories MoM,1.8%,0.8%,0.6%
,14:00,USD,Fed Evans Speech,,,
,16:00,USD,Fed George Speech,,,
,16:00,USD,Fed Waller Speech,,,
"Sep 13, 2022",12:30,USD,Inflation Rate MoM,0%,-0.1%,0.1%
,12:30,USD,Core Inflation Rate MoM,0.3%,0.3%,0.6%
,12:30,USD,Core Inflation Rate YoY,5.9%,6.1%,6.3%
,12:30,USD,CPI,296.276,295.53,296.171
,12:30,USD,Inflation Rate YoY,8.5%,8.1%,8.3%
,14:00,USD,IBD/TIPP Economic Optimism,38.1,,44.7
,18:00,USD,Monthly Budget Statement,$-211B,$-213.5B,$-220B
,20:30,USD,API Crude Oil Stock Change,3.645M,-0.200M,6.035M
"Sep 14, 2022",12:30,USD,PPI MoM,-0.4%,-0.1%,-0.1%
,12:30,USD,Core PPI MoM,0.3%,0.3%,0.4%
,14:30,USD,EIA Crude Oil Stocks Change,8.844M,0.833M,2.442M
,14:30,USD,EIA Gasoline Stocks Change,0.333M,-0.858M,-1.767M
"Sep 15, 2022",12:30,USD,NY Empire State Manufacturing Index,-31.3,-13,-1.5
,12:30,USD,Retail Sales MoM,-0.4%,0%,0.3%
,12:30,USD,Philly Fed Employment,24.1,,12
,12:30,USD,Retail Sales Ex Autos MoM,0%,0.1%,-0.3%
,12:30,USD,Export Prices MoM,-3.7%,-1.2%,-1.6%
,12:30,USD,Initial Jobless Claims,218K,226K,213K
,12:30,USD,Import Prices MoM,-1.5%,-1.2%,-1%
,12:30,USD,Philadelphia Fed Manufacturing Index,6.2,2.8,-9.9
,13:15,USD,Industrial Production YoY,3.8%,,3.7%
,13:15,USD,Industrial Production MoM,0.5%,0.1%,-0.2%
,14:00,USD,Business Inventories MoM,1.4%,0.6%,0.6%
"Sep 16, 2022",14:00,USD,Michigan Consumer Sentiment Prel,58.2,60,59.5
,20:00,USD,Net Long-term TIC Flows,$121.8B,,$21.4B
"Sep 19, 2022",14:00,USD,NAHB Housing Market Index,49,47,46
"Sep 20, 2022",12:30,USD,Building Permits MoM,-0.6%,,-10%
,12:30,USD,Building Permits,1.685M,1.61M,1.517M
,12:30,USD,Housing Starts MoM,-10.9%,,12.2%
,12:30,USD,Housing Starts,1.404M,1.445M,1.575M
,20:30,USD,API Crude Oil Stock Change,6.035M,2.321M,1.035M
"Sep 21, 2022",14:00,USD,Existing Home Sales,4.82M,4.7M,4.8M
,14:00,USD,Existing Home Sales MoM,-5.7%,,-0.4%
,14:30,USD,EIA Gasoline Stocks Change,-1.767M,-0.431M,1.569M
,14:30,USD,EIA Crude Oil Stocks Change,2.442M,2.161M,1.142M
,18:00,USD,Interest Rate Projection - Longer,2.5%,,2.5%
,18:00,USD,Interest Rate Projection - 3rd Yr,,,
,18:00,USD,Interest Rate Projection - 3rd Yr,2.1%,,2.9%
,18:00,USD,Interest Rate Projection - 1st Yr,3.8%,,4.6%
,18:00,USD,Interest Rate Projection - Current,3.4%,,4.4%
,18:00,USD,Interest Rate Projection - 2nd Yr,3.4%,,3.9%
,18:00,USD,FOMC Economic Projections,,,
,18:00,USD,Fed Interest Rate Decision,2.5%,3.25%,3.25%
,18:30,USD,Fed Press Conference,,,
"Sep 22, 2022",12:30,USD,Initial Jobless Claims,208K,218K,213K
,12:30,USD,Current Account,$-282.5B,$-260.6B,$-251.1B
"Sep 23, 2022",13:45,USD,S&P Global Services PMI Flash,43.7,45,49.2
,13:45,USD,S&P Global Composite PMI Flash,44.6,,49.3
,13:45,USD,Markit Manufacturing PMI Flash,,,
,13:45,USD,Markit Services PMI Flash,,,
,13:45,USD,Markit Composite PMI Flash,,,
,13:45,USD,S&P Global Manufacturing PMI Flash,51.5,51.1,51.8
,18:00,USD,Fed Chair Powell Speech,,,
"Sep 26, 2022",12:30,USD,Chicago Fed National Activity Index,0.29,,0
,14:00,USD,Fed Collins Speech,,,
,14:30,USD,Dallas Fed Manufacturing Index,-12.9,,-17.2
,16:00,USD,Fed Bostic Speech,,,
,20:00,USD,Fed Mester Speech,,,
"Sep 27, 2022",10:15,USD,Fed Evans Speech,,,
,11:30,USD,Fed Powell Speech,,,
,12:30,USD,Durable Goods Orders Ex Transp MoM,0.2%,0.2%,0.2%
,12:30,USD,Durable Goods Orders MoM,-0.1%,-0.4%,-0.2%
,13:00,USD,S&P/Case-Shiller Home Price YoY,18.7%,17%,16.1%
,13:00,USD,S&P/Case-Shiller Home Price MoM,0.4%,,-0.8%
,13:55,USD,Fed Bullard Speech,,,
,14:00,USD,CB Consumer Confidence,103.6,104.5,108
,14:00,USD,New Home Sales,0.532M,0.5M,0.685M
,14:00,USD,New Home Sales MoM,-8.6%,,28.8%
,20:30,USD,API Crude Oil Stock Change,1.035M,0.333M,4.15M
"Sep 28, 2022",00:35,USD,Fed Daly Speech,,,
,12:30,USD,Wholesale Inventories MoM Adv,0.6%,,1.3%
,12:30,USD,Retail Inventories Ex Autos MoM Adv,0.3%,,0.6%
,12:30,USD,Goods Trade Balance Adv,$-90.19B,,$-87.3B
,12:35,USD,Fed Bostic Speech,,,
,14:00,USD,Pending Home Sales MoM,-0.6%,-1.4%,-2%
,14:00,USD,Pending Home Sales YoY,-19.5%,,-24.2%
,14:10,USD,Fed Bullard Speech,,,
,14:15,USD,Fed Chair Powell Speech,,,
,14:30,USD,EIA Gasoline Stocks Change,1.569M,0.709M,-2.422M
,14:30,USD,EIA Crude Oil Stocks Change,1.142M,0.443M,-0.215M
,15:00,USD,Fed Bowman Speech,,,
,18:00,USD,Fed Evans Speech,,,
"Sep 29, 2022",12:30,USD,GDP Growth Rate QoQ Final,-1.6%,-0.6%,-0.6%
,12:30,USD,Initial Jobless Claims,209K,215K,193K
,12:30,USD,GDP Price Index QoQ Final,8.3%,8.9%,9.1%
,13:30,USD,Fed Bullard Speech,,,
,17:00,USD,Fed Mester Speech,,,
,17:00,USD,Fed Lane Speech,,,
,20:45,USD,Fed Daly Speech,,,
"Sep 30, 2022",12:30,USD,Personal Income MoM,,,
,12:30,USD,PCE Price Index YoY,,,
,12:30,USD,Personal Spending MoM,,,
,12:30,USD,PCE Price Index MoM,,,
,13:45,USD,Chicago PMI,,,
,14:00,USD,Michigan Consumer Sentiment Final,,,
"Oct 03, 2022",13:05,USD,Fed Bostic Speech,,,
,13:45,USD,S&P Global Manufacturing PMI Final,51.5,51.8,52
,14:00,USD,ISM Manufacturing PMI,52.8,52.2,50.9
,14:00,USD,ISM Manufacturing Employment,54.2,53,48.7
,15:45,USD,Fed Barkin Speech,,,
,18:15,USD,Fed George Speech,,,
,19:10,USD,Fed Williams Speech,,,
,22:45,USD,Fed Bostic Speech,,,
"Oct 04, 2022",13:00,USD,Fed Logan Speech,,,
,13:00,USD,Fed Williams Speech,,,
,13:15,USD,Fed Mester Speech,,,
,14:00,USD,JOLTs Job Openings,11.17M,10.775M,10.053M
,14:00,USD,Factory Orders MoM,-1%,0%,0%
,15:45,USD,Fed Jefferson Speech,,,
,17:00,USD,Fed Daly Speech,,,
,20:30,USD,API Crude Oil Stock Change,4.15M,1.966M,-1.77M
"Oct 05, 2022",12:15,USD,ADP Employment Change,185K,200K,208K
,12:30,USD,Balance of Trade,$-70.5B,$-67.7B,$-67.4B
,12:30,USD,Imports,$330B,,$326.3B
,12:30,USD,Exports,$259.6B,,$258.9B
,13:45,USD,S&P Global Composite PMI Final,44.6,49.3,49.5
,13:45,USD,S&P Global Services PMI Final,43.7,49.2,49.3
,14:00,USD,ISM Non-Manufacturing Employment,50.2,,53
,14:00,USD,ISM Non-Manufacturing PMI,56.9,56,56.7
,14:30,USD,EIA Gasoline Stocks Change,-2.422M,-1.334M,-4.728M
,14:30,USD,EIA Crude Oil Stocks Change,-0.215M,2.052M,-1.356M
,20:00,USD,Fed Bostic Speech,,,
"Oct 06, 2022",12:30,USD,Initial Jobless Claims,190K,203K,219K
,17:00,USD,Fed D. Cook Speech,,,
,17:00,USD,Fed Evans Speech,,,
,21:00,USD,Fed Waller Speech,,,
"Oct 07, 2022",12:30,USD,Average Hourly Earnings MoM,0.3%,0.3%,0.3%
,12:30,USD,Average Hourly Earnings YoY,5.2%,5.1%,5%
,12:30,USD,Non Farm Payrolls,315K,250K,263K
,12:30,USD,Participation Rate,62.4%,,62.3%
,12:30,USD,Unemployment Rate,3.7%,3.7%,3.5%
,14:00,USD,Wholesale Inventories MoM,0.6%,1.3%,1.3%
,14:00,USD,Fed Williams Speech,,,
"Oct 10, 2022",13:00,USD,Fed Evans Speech,,,
,17:35,USD,Fed Brainard Speech,,,
"Oct 11, 2022",14:00,USD,IBD/TIPP Economic Optimism,44.7,,41.6
,15:30,USD,Fed Harker Speech,,,
,16:00,USD,Fed Mester Speech,,,
"Oct 12, 2022",12:30,USD,PPI MoM,-0.2%,0.2%,0.4%
,12:30,USD,Core PPI MoM,0.3%,0.3%,0.3%
,17:45,USD,Fed S. Barr Speech,,,
,18:00,USD,FOMC Minutes,,,
,20:30,USD,API Crude Oil Stock Change,-1.77M,,7.1M
,22:30,USD,Fed Bowman Speech,,,
"Oct 13, 2022",12:30,USD,Initial Jobless Claims,219K,225K,228K
,12:30,USD,Core Inflation Rate YoY,6.3%,6.5%,6.6%
,12:30,USD,CPI,296.171,296.43,296.808
,12:30,USD,Inflation Rate YoY,8.3%,8.1%,8.2%
,12:30,USD,Inflation Rate MoM,0.1%,0.2%,0.4%
,12:30,USD,Core Inflation Rate MoM,0.6%,0.5%,0.6%
