Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-08-28 20:30:00,AUD,Retail Sales MoM Prel,0.2000,0.3000,1.3000
2022-08-29 20:30:00,AUD,Building Permits MoM,-0.6000,-2.0000,-17.2000
2022-08-30 20:30:00,AUD,Construction Work Done QoQ,-0.9000,0.0000,0.0000
2022-08-31 20:30:00,AUD,Investment Lending for Homes,-6.3000,0.0000,-11.2000
2022-08-31 20:30:00,AUD,Home Loans MoM,-3.3000,-3.0000,-7.0000
2022-09-04 18:00:00,AUD,S&P Global Services PMI Final,50.9000,0.0000,50.2000
2022-09-04 20:30:00,AUD,Company Gross Profits QoQ,9.8000,4.0000,7.6000
2022-09-04 20:30:00,AUD,Retail Sales MoM Final,0.2000,1.3000,1.3000
2022-09-05 23:30:00,AUD,RBA Interest Rate Decision,1.8500,2.3500,2.3500
2022-09-06 17:30:00,AUD,Ai Group Services Index,51.7000,0.0000,53.3000
2022-09-06 20:30:00,AUD,GDP Growth Rate YoY,3.3000,3.5000,3.6000
2022-09-06 20:30:00,AUD,GDP Growth Rate QoQ,0.7000,1.0000,0.9000
2022-09-07 20:30:00,AUD,Balance of Trade,17.1300,14.5000,8.7330
2022-09-12 19:30:00,AUD,Westpac Consumer Confidence Index,81.2000,0.0000,84.4000
2022-09-12 19:30:00,AUD,Westpac Consumer Confidence Change,-3.0000,0.0000,3.9000
2022-09-12 20:30:00,AUD,NAB Business Confidence,8.0000,0.0000,10.0000
2022-09-13 21:30:00,AUD,HIA New Home Sales MoM,-13.1000,0.0000,-16.0000
2022-09-14 20:30:00,AUD,Part Time Employment Chg,46.0000,0.0000,-25.3000
2022-09-14 20:30:00,AUD,Full Time Employment Chg,-86.9000,0.0000,58.8000
2022-09-14 20:30:00,AUD,Unemployment Rate,3.4000,3.4000,3.5000
2022-09-14 20:30:00,AUD,Employment Change,-41.0000,35.0000,33.5000
2022-09-22 18:00:00,AUD,S&P Global Services PMI Flash,50.2000,0.0000,50.4000
2022-09-22 18:00:00,AUD,S&P Global Manufacturing PMI Flash,53.8000,0.0000,53.9000
2022-09-27 20:30:00,AUD,Retail Sales MoM Prel,1.3000,0.4000,0.6000
2022-10-02 17:00:00,AUD,S&P Global Manufacturing PMI Final,53.8000,0.0000,53.5000
2022-10-03 16:30:00,AUD,Ai Group Manufacturing Index,49.3000,0.0000,50.2000
2022-10-03 19:30:00,AUD,Investment Lending for Homes,-11.2000,0.0000,-4.8000
2022-10-03 19:30:00,AUD,Building Permits MoM Prel,-18.2000,5.0000,28.1000
2022-10-03 19:30:00,AUD,Home Loans MoM,-7.0000,-3.5000,-2.7000
2022-10-03 22:30:00,AUD,RBA Interest Rate Decision,2.3500,2.8500,2.6000
2022-10-04 17:00:00,AUD,S&P Global Services PMI Final,50.4000,0.0000,50.6000
2022-10-04 19:30:00,AUD,Retail Sales MoM Final,1.3000,0.0000,0.6000
2022-10-05 19:30:00,AUD,Balance of Trade,8.9670,10.1000,8.3240
2022-10-09 16:30:00,AUD,Ai Group Services Index,53.3000,0.0000,48.0000
2022-10-10 18:30:00,AUD,Westpac Consumer Confidence Index,84.4000,0.0000,83.7000
2022-10-10 18:30:00,AUD,Westpac Consumer Confidence Change,3.9000,0.0000,-0.9000
2022-10-10 19:30:00,AUD,NAB Business Confidence,10.0000,0.0000,5.0000
2022-10-10 19:30:00,AUD,Building Permits MoM Final,-18.2000,0.0000,28.1000
2022-10-19 19:30:00,AUD,Employment Change,36.3000,25.0000,0.9000
2022-10-19 19:30:00,AUD,Unemployment Rate,3.5000,3.5000,3.5000
2022-10-19 19:30:00,AUD,Part Time Employment Chg,-18.7000,0.0000,-12.4000
2022-10-19 19:30:00,AUD,Full Time Employment Chg,55.0000,0.0000,13.3000
2022-10-23 17:00:00,AUD,S&P Global Manufacturing PMI Flash,53.5000,0.0000,52.8000
2022-10-23 17:00:00,AUD,S&P Global Services PMI Flash,50.6000,0.0000,49.0000
2022-10-25 19:30:00,AUD,Inflation Rate QoQ,1.8000,1.6000,1.8000
2022-10-25 19:30:00,AUD,Monthly CPI Indicator,6.9000,0.0000,7.3000
2022-10-25 19:30:00,AUD,Inflation Rate YoY,6.1000,7.0000,7.3000
2022-10-27 19:30:00,AUD,PPI QoQ,1.4000,0.0000,1.9000
2022-10-30 19:30:00,AUD,Retail Sales MoM Prel,0.6000,0.6000,0.6000
2022-10-31 17:00:00,AUD,S&P Global Manufacturing PMI Final,53.5000,0.0000,0.0000
2022-10-31 22:30:00,AUD,RBA Interest Rate Decision,2.6000,2.8500,2.8500
2022-11-01 16:30:00,AUD,Ai Group Manufacturing Index,50.2000,0.0000,49.6000
2022-11-01 19:30:00,AUD,Building Permits MoM Prel,23.1000,-7.0000,-5.8000
2022-11-01 19:30:00,AUD,Investment Lending for Homes,-4.8000,0.0000,-6.0000
2022-11-01 19:30:00,AUD,Home Loans MoM,-2.7000,-2.6500,-9.3000
2022-11-02 17:00:00,AUD,S&P Global Services PMI Final,50.6000,0.0000,49.3000
2022-11-02 19:30:00,AUD,Balance of Trade,8.6640,8.8500,12.4440
2022-11-03 19:30:00,AUD,Retail Sales MoM Final,0.6000,0.6000,0.6000
2022-11-07 16:30:00,AUD,Ai Group Services Index,48.0000,0.0000,47.7000
2022-11-07 18:30:00,AUD,Westpac Consumer Confidence Change,-0.9000,0.0000,-6.9000
2022-11-07 18:30:00,AUD,Westpac Consumer Confidence Index,83.7000,0.0000,78.0000
2022-11-08 19:30:00,AUD,Building Permits MoM Final,23.1000,0.0000,-5.8000
2022-11-16 19:30:00,AUD,Part Time Employment Chg,-14.7000,0.0000,-14.9000
2022-11-16 19:30:00,AUD,Full Time Employment Chg,10.8000,0.0000,47.1000
2022-11-16 19:30:00,AUD,Employment Change,-3.8000,15.0000,32.2000
2022-11-16 19:30:00,AUD,Unemployment Rate,3.5000,3.6000,3.4000
2022-11-22 17:00:00,AUD,S&P Global Manufacturing PMI Flash,52.7000,0.0000,51.5000
2022-11-22 17:00:00,AUD,S&P Global Services PMI Flash,49.3000,0.0000,47.2000
2022-11-27 19:30:00,AUD,Retail Sales MoM Prel,0.6000,0.5000,-0.2000
2022-11-29 19:30:00,AUD,Construction Work Done QoQ,-3.8000,1.5000,2.2000
2022-11-29 19:30:00,AUD,Monthly CPI Indicator,7.3000,7.4000,6.9000
