Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-08-30 07:30:00,CAD,Current Account,2.6500,6.6000,2.6900
2022-08-31 07:30:00,CAD,GDP Growth Rate QoQ,0.8000,0.0000,0.0000
2022-08-31 07:30:00,CAD,GDP Growth Rate Annualized,3.1000,0.0000,0.0000
2022-09-01 08:30:00,CAD,S&P Global Manufacturing PMI,52.5000,0.0000,48.7000
2022-09-07 07:30:00,CAD,Balance of Trade,4.8800,3.8000,4.0500
2022-09-07 09:00:00,CAD,Ivey PMI s.a,49.6000,0.0000,60.9000
2022-09-07 09:00:00,CAD,BoC Interest Rate Decision,2.5000,3.2500,3.2500
2022-09-09 07:30:00,CAD,Part Time Employment Chg,-17.5000,0.0000,37.5000
2022-09-09 07:30:00,CAD,Participation Rate,64.7000,0.0000,64.8000
2022-09-09 07:30:00,CAD,Employment Change,-30.6000,15.0000,-39.7000
2022-09-09 07:30:00,CAD,Full Time Employment Chg,-13.1000,0.0000,-77.2000
2022-09-09 07:30:00,CAD,Unemployment Rate,4.9000,5.0000,5.4000
2022-09-16 07:00:00,CAD,Housing Starts,275.2000,265.0000,267.4000
2022-09-20 07:30:00,CAD,Inflation Rate MoM,0.1000,-0.1000,-0.3000
2022-09-20 07:30:00,CAD,Inflation Rate YoY,7.6000,7.3000,7.0000
2022-09-20 07:30:00,CAD,Core Inflation Rate YoY,6.1000,0.0000,5.8000
2022-09-22 07:30:00,CAD,New Housing Price Index YoY,7.5000,0.0000,6.9000
2022-09-22 07:30:00,CAD,New Housing Price Index MoM,0.1000,0.0000,0.1000
2022-09-23 07:30:00,CAD,Retail Sales MoM,1.0000,-2.0000,-2.5000
2022-09-23 07:30:00,CAD,Retail Sales Ex Autos MoM,0.6000,-1.2000,-3.1000
2022-09-29 07:30:00,CAD,GDP MoM,0.1000,-0.1000,0.1000
2022-10-03 08:30:00,CAD,S&P Global Manufacturing PMI,48.7000,0.0000,49.8000
2022-10-05 07:30:00,CAD,Balance of Trade,2.3700,3.4500,1.5200
2022-10-06 09:00:00,CAD,Ivey PMI s.a,60.9000,0.0000,59.5000
2022-10-07 07:30:00,CAD,Full Time Employment Chg,-77.2000,0.0000,5.7000
