Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-09-01 01:30:00,CHF,Inflation Rate YoY,3.4000,3.4000,3.5000
2022-09-01 01:30:00,CHF,Retail Sales YoY,0.7000,0.0000,2.6000
2022-09-01 02:30:00,CHF,procure.ch Manufacturing PMI,58.0000,56.8000,56.4000
2022-09-05 02:00:00,CHF,GDP Growth Rate QoQ,0.5000,0.4000,0.3000
2022-09-05 02:00:00,CHF,GDP Growth Rate YoY,4.7000,3.0000,2.8000
2022-09-08 01:00:00,CHF,Unemployment Rate,2.0000,2.0000,2.0000
2022-09-20 01:00:00,CHF,Balance of Trade,2.3500,0.0000,2.3400
2022-09-22 02:30:00,CHF,SNB Interest Rate Decision,-0.2500,0.5000,0.5000
2022-09-23 02:00:00,CHF,Current Account,18.0000,0.0000,11.0000
2022-10-03 01:30:00,CHF,Inflation Rate YoY,3.5000,3.5000,3.3000
2022-10-03 02:30:00,CHF,procure.ch Manufacturing PMI,56.4000,54.5000,57.1000
2022-10-07 01:00:00,CHF,Unemployment Rate,2.0000,2.0000,1.9000
2022-10-20 01:00:00,CHF,Balance of Trade,2.3000,0.0000,2.7800
2022-10-28 02:00:00,CHF,KOF Leading Indicators,92.3000,93.2000,90.9000
2022-10-31 02:30:00,CHF,Retail Sales YoY,2.1000,3.3000,3.2000
2022-11-01 03:00:00,CHF,Consumer Confidence,-41.7000,0.0000,-46.6000
2022-11-01 03:30:00,CHF,procure.ch Manufacturing PMI,57.1000,56.0000,54.9000
2022-11-03 02:30:00,CHF,Inflation Rate YoY,3.3000,3.2000,3.0000
2022-11-07 02:00:00,CHF,Unemployment Rate,1.9000,2.0000,1.9000
2022-11-17 02:00:00,CHF,Balance of Trade,2.9000,0.0000,3.0000
2022-11-18 02:30:00,CHF,Industrial Production YoY,5.0000,0.0000,5.2000
2022-11-29 03:00:00,CHF,GDP Growth Rate QoQ,0.1000,0.3000,0.2000
2022-11-29 03:00:00,CHF,GDP Growth Rate YoY,2.2000,1.0000,0.5000
2022-11-30 03:00:00,CHF,KOF Leading Indicators,90.9000,91.3000,89.5000
2022-12-01 02:30:00,CHF,Retail Sales YoY,2.6000,0.0000,-2.5000
2022-12-01 02:30:00,CHF,Inflation Rate YoY,3.0000,3.0000,3.0000
2022-12-01 03:30:00,CHF,procure.ch Manufacturing PMI,54.9000,54.0000,53.9000
2022-12-07 02:00:00,CHF,Unemployment Rate,1.9000,0.0000,2.0000
2022-12-15 03:30:00,CHF,SNB Interest Rate Decision,0.5000,1.0000,1.0000
2022-12-20 02:00:00,CHF,Balance of Trade,2.9000,0.0000,0.5000
2022-12-22 03:00:00,CHF,Current Account,14.0000,0.0000,24.0000
2022-12-30 03:00:00,CHF,KOF Leading Indicators,89.2000,90.5000,92.2000
2023-01-03 03:30:00,CHF,procure.ch Manufacturing PMI,53.9000,53.3000,54.1000
2023-01-04 02:30:00,CHF,Inflation Rate YoY,3.0000,2.9000,2.8000
2023-01-06 02:30:00,CHF,Retail Sales YoY,-2.6000,0.0000,-1.3000
2023-01-09 02:00:00,CHF,Unemployment Rate,2.0000,0.0000,2.1000
