Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-08-24 04:30:00,EUR,10-Year Bund Auction,0.9400,0.0000,1.3300
2022-08-25 01:00:00,EUR,GDP Growth Rate YoY Final,3.6000,1.4000,1.7000
2022-08-25 02:00:00,EUR,Business Confidence,106.0000,104.0000,104.0000
2022-08-25 03:00:00,EUR,Ifo Business Climate,88.7000,86.8000,88.5000
2022-08-25 05:00:00,EUR,Unemployment Benefit Claims,13.6000,0.0000,20.3000
2022-08-26 01:00:00,EUR,GfK Consumer Confidence,-30.9000,-31.8000,-36.5000
2022-08-26 02:00:00,EUR,Consumer Confidence,80.0000,79.0000,82.0000
2022-08-30 04:00:00,EUR,Economic Sentiment,98.9000,98.0000,97.6000
2022-08-30 07:00:00,EUR,Inflation Rate YoY Prel,7.5000,7.8000,7.9000
2022-08-30 07:00:00,EUR,Inflation Rate MoM Prel,0.9000,0.3000,0.3000
2022-09-01 01:00:00,EUR,Retail Sales YoY,-9.6000,-6.5000,-2.6000
2022-09-01 03:00:00,EUR,S&P Global Manufacturing PMI Final,49.5000,49.0000,50.6000
2022-09-01 03:00:00,EUR,S&P Global Manufacturing PMI Final,49.3000,49.8000,49.1000
2022-09-01 03:00:00,EUR,S&P Global Manufacturing PMI Final,49.8000,49.7000,49.6000
2022-09-01 04:00:00,EUR,Unemployment Rate,6.7000,6.6000,6.6000
2022-09-02 01:00:00,EUR,Balance of Trade,7.7000,0.0000,4.9000
2022-09-05 03:00:00,EUR,S&P Global Services PMI Final,53.2000,51.0000,51.2000
2022-09-05 03:00:00,EUR,S&P Global Services PMI Final,49.7000,48.2000,47.7000
2022-09-05 03:00:00,EUR,S&P Global Services PMI Final,51.2000,50.2000,49.8000
2022-09-05 04:00:00,EUR,Retail Sales YoY,-3.2000,-0.7000,-0.9000
2022-09-05 04:00:00,EUR,Retail Sales MoM,-1.0000,0.4000,0.3000
2022-09-06 01:00:00,EUR,Factory Orders MoM,-0.3000,-0.5000,-1.1000
2022-09-06 02:30:00,EUR,S&P Global Construction PMI,43.7000,0.0000,42.6000
2022-09-07 01:00:00,EUR,Industrial Production MoM,0.8000,-0.5000,-0.3000
2022-09-07 04:00:00,EUR,GDP Growth Rate YoY 3rd Est,5.4000,3.9000,4.1000
2022-09-07 04:00:00,EUR,Employment Change YoY Final,3.1000,2.4000,2.7000
2022-09-07 04:00:00,EUR,Employment Change QoQ Final,0.7000,0.3000,0.4000
2022-09-07 04:00:00,EUR,GDP Growth Rate QoQ 3rd Est,0.7000,0.6000,0.8000
2022-09-08 02:00:00,EUR,Balance of Trade,-13.0800,-13.5600,-14.5400
2022-09-08 07:00:00,EUR,ECB Interest Rate Decision,0.5000,1.2500,1.2500
2022-09-09 02:00:00,EUR,Industrial Production MoM,1.2000,-0.5000,-1.6000
