Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-08-25 05:00:00,GBP,CBI Distributive Trades,-4.0000,-7.0000,37.0000
2022-08-30 03:30:00,GBP,BoE Consumer Credit,1.7720,1.5000,1.4250
2022-08-30 03:30:00,GBP,Mortgage Lending,5.3080,5.0500,5.0510
2022-08-30 03:30:00,GBP,Mortgage Approvals,63.1840,61.7250,63.7700
2022-09-01 01:00:00,GBP,Nationwide Housing Prices YoY,11.0000,8.9000,10.0000
2022-09-01 01:00:00,GBP,Nationwide Housing Prices MoM,0.2000,0.1000,0.8000
2022-09-01 03:30:00,GBP,S&P Global/CIPS Manufacturing PMI Final,52.1000,46.0000,47.3000
2022-09-05 03:30:00,GBP,S&P Global/CIPS UK Services PMI Final,52.6000,52.5000,50.9000
2022-09-05 18:00:00,GBP,BRC Retail Sales Monitor YoY,1.6000,0.0000,0.5000
2022-09-06 03:30:00,GBP,S&P Global/CIPS Construction PMI,48.9000,48.0000,49.2000
2022-09-07 01:00:00,GBP,Halifax House Price Index YoY,11.8000,0.0000,11.5000
2022-09-07 01:00:00,GBP,Halifax House Price Index MoM,-0.1000,0.0000,0.4000
2022-09-12 01:00:00,GBP,Goods Trade Balance,-22.8470,-22.4000,-19.3620
2022-09-12 01:00:00,GBP,Industrial Production YoY,2.4000,1.9000,1.1000
2022-09-12 01:00:00,GBP,GDP MoM,-0.6000,0.4000,0.2000
2022-09-12 01:00:00,GBP,Goods Trade Balance Non-EU,-12.2900,0.0000,-10.1940
2022-09-12 01:00:00,GBP,Construction Output YoY,4.1000,5.6000,4.3000
2022-09-12 01:00:00,GBP,Balance of Trade,-11.3870,0.0000,-7.7930
2022-09-12 01:00:00,GBP,Manufacturing Production YoY,1.3000,1.6000,1.1000
2022-09-13 01:00:00,GBP,Claimant Count Change,-10.5000,0.0000,6.3000
2022-09-13 01:00:00,GBP,Unemployment Rate,3.8000,3.8000,3.6000
2022-09-13 01:00:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),5.2000,5.4000,5.5000
2022-09-13 01:00:00,GBP,Employment Change,160.0000,128.0000,40.0000
2022-09-14 01:00:00,GBP,Core Inflation Rate YoY,6.2000,6.3000,6.3000
2022-09-14 01:00:00,GBP,Inflation Rate MoM,0.6000,0.6000,0.5000
2022-09-14 01:00:00,GBP,Inflation Rate YoY,10.1000,10.2000,9.9000
2022-09-16 01:00:00,GBP,Retail Sales YoY,-3.2000,-4.2000,-5.4000
2022-09-16 01:00:00,GBP,Retail Sales MoM,0.4000,-0.5000,-1.6000
2022-09-16 01:00:00,GBP,Retail Sales ex Fuel MoM,0.4000,-0.7000,-1.6000
2022-09-21 05:00:00,GBP,CBI Industrial Trends Orders,-7.0000,-11.0000,-2.0000
2022-09-22 06:00:00,GBP,BoE Interest Rate Decision,1.7500,2.2500,2.2500
2022-09-22 06:00:00,GBP,BoE MPC Vote Hike,9.0000,9.0000,9.0000
2022-09-22 18:00:00,GBP,Gfk Consumer Confidence,-44.0000,-42.0000,-49.0000
2022-09-23 03:30:00,GBP,S&P Global/CIPS Manufacturing PMI Flash,47.3000,47.5000,48.5000
2022-09-23 03:30:00,GBP,S&P Global/CIPS UK Services PMI Flash,50.9000,50.0000,49.2000
2022-09-23 05:00:00,GBP,CBI Distributive Trades,37.0000,10.0000,-20.0000
2022-09-30 01:00:00,GBP,GDP Growth Rate QoQ Final,0.8000,0.0000,0.0000
