Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-08-29 18:30:00,JPY,Unemployment Rate,2.6000,2.6000,2.6000
2022-08-30 19:00:00,JPY,Retail Sales YoY,1.5000,1.9000,2.4000
2022-08-30 19:00:00,JPY,Industrial Production MoM Prel,9.2000,-0.5000,1.0000
2022-08-31 19:30:00,JPY,Jibun Bank Manufacturing PMI Final,52.1000,0.0000,51.5000
2022-09-04 19:30:00,JPY,Jibun Bank Services PMI Final,50.3000,0.0000,49.5000
2022-09-07 19:00:00,JPY,GDP Growth Rate QoQ Final,0.1000,0.7000,0.9000
2022-09-07 19:00:00,JPY,GDP Growth Annualized Final,0.2000,2.9000,3.5000
2022-09-07 19:00:00,JPY,Current Account,-132.4000,713.5000,229.0000
2022-09-13 18:00:00,JPY,Reuters Tankan Index,13.0000,0.0000,10.0000
2022-09-13 19:00:00,JPY,Machinery Orders YoY,6.5000,6.6000,12.8000
2022-09-13 19:00:00,JPY,Machinery Orders MoM,0.9000,-0.8000,5.3000
2022-09-13 23:30:00,JPY,Industrial Production MoM Final,9.2000,1.0000,0.8000
2022-09-14 19:00:00,JPY,Balance of Trade,-1436.8000,-2398.2000,-2817.3000
2022-09-14 19:00:00,JPY,Exports YoY,19.0000,23.6000,22.1000
2022-09-19 18:30:00,JPY,Inflation Rate YoY,2.6000,0.0000,3.0000
2022-09-19 18:30:00,JPY,Core Inflation Rate YoY,2.4000,2.7000,2.8000
2022-09-21 22:00:00,JPY,BoJ Interest Rate Decision,-0.1000,-0.1000,-0.1000
2022-09-25 19:30:00,JPY,Jibun Bank Manufacturing PMI Flash,51.5000,0.0000,51.0000
2022-09-25 19:30:00,JPY,Jibun Bank Services PMI Flash,49.5000,0.0000,51.9000
2022-09-29 18:30:00,JPY,Unemployment Rate,2.6000,2.5000,2.5000
2022-09-29 19:00:00,JPY,Retail Sales YoY,2.4000,2.8000,4.1000
2022-09-29 19:00:00,JPY,Industrial Production MoM Prel,0.8000,0.2000,2.7000
2022-10-02 19:00:00,JPY,Tankan Large Manufacturers Index,9.0000,11.0000,8.0000
2022-10-02 19:30:00,JPY,Jibun Bank Manufacturing PMI Final,51.5000,0.0000,50.8000
2022-10-04 19:30:00,JPY,Jibun Bank Services PMI Final,49.5000,0.0000,52.2000
2022-10-10 19:00:00,JPY,Current Account,229.0000,121.8000,58.9000
2022-10-11 18:00:00,JPY,Reuters Tankan Index,10.0000,0.0000,5.0000
2022-10-11 19:00:00,JPY,Machinery Orders YoY,12.8000,12.6000,9.7000
2022-10-11 19:00:00,JPY,Machinery Orders MoM,5.3000,-2.3000,-5.8000
2022-10-16 23:30:00,JPY,Industrial Production MoM Final,0.8000,2.7000,3.4000
2022-10-19 19:00:00,JPY,Exports YoY,22.0000,27.1000,28.9000
2022-10-19 19:00:00,JPY,Balance of Trade,-2820.0000,-2167.4000,-2094.0000
2022-10-20 18:30:00,JPY,Core Inflation Rate YoY,2.8000,3.0000,3.0000
2022-10-20 18:30:00,JPY,Inflation Rate YoY,3.0000,0.0000,3.0000
2022-10-23 19:30:00,JPY,Jibun Bank Manufacturing PMI Flash,50.8000,0.0000,50.7000
2022-10-23 19:30:00,JPY,Jibun Bank Services PMI Flash,52.2000,0.0000,53.0000
2022-10-27 18:30:00,JPY,Unemployment Rate,2.5000,2.5000,2.6000
2022-10-27 22:00:00,JPY,BoJ Interest Rate Decision,-0.1000,-0.1000,-0.1000
2022-10-30 19:00:00,JPY,Retail Sales YoY,4.1000,4.1000,4.5000
2022-10-30 19:00:00,JPY,Industrial Production MoM Prel,3.4000,-1.0000,-1.6000
2022-10-31 00:00:00,JPY,Consumer Confidence,30.8000,0.0000,29.9000
2022-10-31 00:00:00,JPY,Housing Starts YoY,4.6000,2.3000,1.0000
2022-10-31 19:30:00,JPY,Jibun Bank Manufacturing PMI Final,50.8000,0.0000,50.7000
2022-11-03 19:30:00,JPY,Jibun Bank Services PMI Final,52.2000,0.0000,53.2000
2022-11-08 18:00:00,JPY,Reuters Tankan Index,5.0000,0.0000,2.0000
2022-11-08 19:00:00,JPY,Current Account,58.9000,234.5000,909.3000
2022-11-14 19:00:00,JPY,GDP Growth Rate QoQ Prel,1.1000,0.3000,-0.3000
2022-11-14 19:00:00,JPY,GDP Growth Annualized Prel,4.6000,1.1000,-1.2000
2022-11-14 23:30:00,JPY,Industrial Production MoM Final,3.4000,-1.6000,-1.7000
2022-11-15 19:00:00,JPY,Machinery Orders YoY,9.7000,7.4000,2.9000
2022-11-15 19:00:00,JPY,Machinery Orders MoM,-5.8000,0.7000,-4.6000
2022-11-16 19:00:00,JPY,Balance of Trade,-2094.3000,-1610.0000,-2162.3000
2022-11-16 19:00:00,JPY,Exports YoY,28.9000,28.1000,25.3000
2022-11-17 18:30:00,JPY,Core Inflation Rate YoY,3.0000,3.5000,3.6000
2022-11-17 18:30:00,JPY,Inflation Rate YoY,3.0000,0.0000,3.7000
2022-11-23 19:30:00,JPY,Jibun Bank Services PMI Flash,53.2000,0.0000,50.0000
2022-11-23 19:30:00,JPY,Jibun Bank Manufacturing PMI Flash,50.7000,0.0000,49.4000
2022-11-28 18:30:00,JPY,Unemployment Rate,2.6000,2.5000,2.6000
2022-11-28 19:00:00,JPY,Retail Sales YoY,4.8000,5.0000,4.3000
2022-11-29 19:00:00,JPY,Industrial Production MoM Prel,-1.7000,-1.5000,-2.6000
2022-11-30 00:00:00,JPY,Housing Starts YoY,1.1000,-1.3000,-1.8000
2022-11-30 19:30:00,JPY,Jibun Bank Manufacturing PMI Final,50.7000,0.0000,49.0000
2022-12-01 00:00:00,JPY,Consumer Confidence,29.9000,0.0000,28.6000
2022-12-04 19:30:00,JPY,Jibun Bank Services PMI Final,53.2000,0.0000,50.3000
2022-12-06 18:00:00,JPY,Reuters Tankan Index,2.0000,0.0000,8.0000
2022-12-07 19:00:00,JPY,GDP Growth Annualized Final,4.5000,-1.1000,-0.8000
2022-12-07 19:00:00,JPY,GDP Growth Rate QoQ Final,1.1000,-0.3000,-0.2000
2022-12-07 19:00:00,JPY,Current Account,909.3000,623.4000,-64.1000
2022-12-13 19:00:00,JPY,Tankan Large Manufacturers Index,8.0000,6.0000,7.0000
2022-12-13 19:00:00,JPY,Machinery Orders MoM,-4.6000,2.6000,5.4000
2022-12-13 19:00:00,JPY,Machinery Orders YoY,2.9000,2.6000,0.4000
2022-12-14 19:00:00,JPY,Balance of Trade,-2166.2000,-1680.3000,-2027.4000
2022-12-14 19:00:00,JPY,Exports YoY,25.3000,19.8000,20.0000
2022-12-15 19:30:00,JPY,Jibun Bank Manufacturing PMI Flash,49.0000,0.0000,48.8000
2022-12-15 19:30:00,JPY,Jibun Bank Services PMI Flash,50.3000,0.0000,51.7000
2022-12-19 22:00:00,JPY,BoJ Interest Rate Decision,-0.1000,-0.1000,-0.1000
2022-12-22 18:30:00,JPY,Core Inflation Rate YoY,3.6000,3.7000,3.7000
2022-12-22 18:30:00,JPY,Inflation Rate YoY,3.7000,0.0000,3.8000
2022-12-26 18:30:00,JPY,Unemployment Rate,2.6000,2.5000,2.5000
2022-12-26 19:00:00,JPY,Retail Sales YoY,4.4000,3.7000,2.6000
2022-12-27 00:00:00,JPY,Housing Starts YoY,-1.8000,1.5000,-1.4000
2022-12-27 19:00:00,JPY,Industrial Production MoM Prel,-3.2000,-0.3000,-0.1000
2023-01-03 19:30:00,JPY,Jibun Bank Manufacturing PMI Final,49.0000,0.0000,48.9000
2023-01-05 00:00:00,JPY,Consumer Confidence,28.6000,0.0000,30.3000
2023-01-05 19:30:00,JPY,Jibun Bank Services PMI Final,50.3000,0.0000,51.1000
2023-01-11 19:00:00,JPY,Current Account,-64.1000,471.1000,1803.6000
2023-01-17 18:00:00,JPY,Reuters Tankan Index,8.0000,0.0000,-6.0000
2023-01-17 19:00:00,JPY,Machinery Orders MoM,5.4000,-0.9000,-8.3000
2023-01-17 19:00:00,JPY,Machinery Orders YoY,0.4000,2.4000,-3.7000
2023-01-17 22:00:00,JPY,BoJ Interest Rate Decision,-0.1000,0.0000,-0.1000
2023-01-18 19:00:00,JPY,Balance of Trade,-2029.0000,-1652.8000,-1448.5000
2023-01-18 19:00:00,JPY,Exports YoY,20.0000,10.1000,11.5000
2023-01-19 18:30:00,JPY,Inflation Rate YoY,3.8000,0.0000,4.0000
2023-01-19 18:30:00,JPY,Core Inflation Rate YoY,3.7000,4.0000,4.0000
