Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-09-13 18:00:00,NZD,Current Account,-6.5020,-4.7000,-5.2240
2022-09-14 18:00:00,NZD,GDP Growth Rate QoQ,-0.2000,1.0000,1.7000
2022-09-14 18:00:00,NZD,GDP Growth Rate YoY,1.0000,0.2000,0.4000
2022-09-15 17:30:00,NZD,Business NZ PMI,53.5000,0.0000,54.9000
2022-09-21 18:00:00,NZD,Balance of Trade,-1406.0000,0.0000,-2447.0000
2022-09-28 19:00:00,NZD,ANZ Business Confidence,-47.8000,0.0000,-36.7000
2022-10-04 20:00:00,NZD,RBNZ Interest Rate Decision,3.0000,3.5000,3.5000
2022-10-13 16:30:00,NZD,Business NZ PMI,54.9000,0.0000,52.0000
2022-10-17 17:00:00,NZD,Inflation Rate QoQ,1.7000,1.6000,2.2000
2022-10-20 17:00:00,NZD,Balance of Trade,-2625.0000,0.0000,-1615.0000
2022-10-25 19:00:00,NZD,ANZ Business Confidence,-36.7000,0.0000,-42.7000
2022-11-01 17:00:00,NZD,Unemployment Rate,3.3000,3.2000,3.3000
2022-11-10 16:30:00,NZD,Business NZ PMI,52.0000,0.0000,49.3000
2022-11-21 17:00:00,NZD,Balance of Trade,-1696.0000,0.0000,-2129.0000
2022-11-22 20:00:00,NZD,RBNZ Interest Rate Decision,3.5000,4.2500,4.2500
2022-11-29 19:00:00,NZD,ANZ Business Confidence,-42.7000,0.0000,-57.1000
2022-12-13 17:00:00,NZD,Current Account,-5.4230,-10.0000,-10.2000
2022-12-14 17:00:00,NZD,GDP Growth Rate YoY,0.3000,5.5000,6.4000
2022-12-14 17:00:00,NZD,GDP Growth Rate QoQ,1.9000,0.9000,2.0000
2022-12-15 16:30:00,NZD,Business NZ PMI,49.3000,0.0000,47.4000
2022-12-19 19:00:00,NZD,ANZ Business Confidence,-57.1000,0.0000,-70.2000
2022-12-20 17:00:00,NZD,Balance of Trade,-2298.0000,0.0000,-1863.0000
2023-01-19 16:30:00,NZD,Business NZ PMI,47.4000,0.0000,47.2000
