Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-08-23 09:00:00,USD,S&P Global Services PMI Flash,47.3000,49.2000,44.1000
2022-08-23 09:00:00,USD,S&P Global Composite PMI Flash,47.7000,0.0000,45.0000
2022-08-23 09:00:00,USD,S&P Global Manufacturing PMI Flash,52.2000,52.0000,51.3000
2022-08-23 09:00:00,USD,New Home Sales,0.5850,0.5750,0.5110
2022-08-23 09:00:00,USD,New Home Sales MoM,-7.1000,0.0000,-12.6000
2022-08-23 15:30:00,USD,API Crude Oil Stock Change,-0.4480,0.0000,-5.6320
2022-08-24 07:30:00,USD,Durable Goods Orders Ex Transp MoM,0.3000,0.2000,0.3000
2022-08-24 09:00:00,USD,Pending Home Sales MoM,-8.9000,-4.0000,-1.0000
2022-08-24 09:00:00,USD,Pending Home Sales YoY,-20.2000,0.0000,-19.9000
2022-08-24 09:30:00,USD,EIA Crude Oil Stocks Change,-7.0560,-0.9330,-3.2820
2022-08-24 09:30:00,USD,EIA Gasoline Stocks Change,-4.6420,-1.4640,-0.0270
2022-08-25 07:30:00,USD,Corporate Profits QoQ Prel,-4.9000,0.0000,9.1000
2022-08-25 07:30:00,USD,GDP Price Index QoQ 2nd Est,8.3000,8.7000,9.0000
2022-08-25 07:30:00,USD,Initial Jobless Claims,245.0000,253.0000,243.0000
2022-08-25 07:30:00,USD,GDP Growth Rate QoQ 2nd Est,-1.6000,-0.8000,-0.6000
2022-08-26 07:30:00,USD,Retail Inventories Ex Autos MoM Adv,1.5000,0.0000,0.4000
2022-08-26 07:30:00,USD,PCE Price Index YoY,6.8000,0.0000,6.3000
2022-08-26 07:30:00,USD,Goods Trade Balance Adv,-98.5900,0.0000,-89.0600
2022-08-26 07:30:00,USD,PCE Price Index MoM,1.0000,0.0000,-0.1000
2022-08-26 07:30:00,USD,Personal Income MoM,0.7000,0.6000,0.2000
2022-08-26 07:30:00,USD,Personal Spending MoM,1.0000,0.4000,0.1000
2022-08-26 07:30:00,USD,Wholesale Inventories MoM Adv,1.9000,0.0000,0.8000
2022-08-26 09:00:00,USD,Michigan Consumer Sentiment Final,51.5000,55.2000,58.2000
2022-08-29 09:30:00,USD,Dallas Fed Manufacturing Index,-22.6000,0.0000,-12.9000
2022-08-30 08:00:00,USD,S&P/Case-Shiller Home Price MoM,1.5000,0.0000,0.4000
2022-08-30 08:00:00,USD,S&P/Case-Shiller Home Price YoY,20.5000,19.5000,18.6000
2022-08-30 09:00:00,USD,CB Consumer Confidence,95.3000,97.7000,103.2000
2022-08-30 09:00:00,USD,JOLTs Job Openings,11.0400,10.4500,11.2390
2022-08-30 15:30:00,USD,API Crude Oil Stock Change,-5.6320,-0.6330,0.5930
2022-08-31 07:00:00,USD,ADP Employment Change,128.0000,200.0000,0.0000
2022-09-01 07:30:00,USD,Initial Jobless Claims,237.0000,248.0000,232.0000
2022-09-01 07:30:00,USD,Unit Labour Costs QoQ Final,12.7000,10.7000,10.2000
2022-09-01 07:30:00,USD,Nonfarm Productivity QoQ Final,-7.4000,-4.5000,-4.1000
2022-09-01 09:00:00,USD,S&P Global Manufacturing PMI Final,52.2000,51.3000,51.5000
2022-09-01 09:00:00,USD,ISM Manufacturing PMI,52.8000,52.0000,52.8000
2022-09-01 09:00:00,USD,ISM Manufacturing Employment,49.9000,49.0000,54.2000
2022-09-02 07:30:00,USD,Average Hourly Earnings YoY,5.2000,5.3000,5.2000
2022-09-02 07:30:00,USD,Participation Rate,62.1000,0.0000,62.4000
2022-09-02 07:30:00,USD,Unemployment Rate,3.5000,3.5000,3.7000
2022-09-02 07:30:00,USD,Average Hourly Earnings MoM,0.5000,0.4000,0.3000
2022-09-02 07:30:00,USD,Non Farm Payrolls,526.0000,300.0000,315.0000
2022-09-02 09:00:00,USD,Factory Orders MoM,1.8000,0.2000,-1.0000
2022-09-06 09:00:00,USD,S&P Global Services PMI Final,47.3000,44.8000,43.7000
2022-09-06 09:00:00,USD,S&P Global Composite PMI Final,47.7000,45.0000,44.6000
2022-09-06 09:00:00,USD,ISM Non-Manufacturing PMI,56.7000,55.1000,56.9000
2022-09-06 09:00:00,USD,ISM Non-Manufacturing Employment,49.1000,0.0000,50.2000
2022-09-07 07:30:00,USD,Balance of Trade,-80.9000,-70.3000,-70.7000
2022-09-07 07:30:00,USD,Exports,258.8000,0.0000,259.3000
2022-09-07 07:30:00,USD,Imports,339.6000,0.0000,329.9000
2022-09-07 15:30:00,USD,API Crude Oil Stock Change,0.5930,-0.7330,3.6450
2022-09-08 07:30:00,USD,Initial Jobless Claims,228.0000,240.0000,222.0000
2022-09-08 10:00:00,USD,EIA Crude Oil Stocks Change,-3.3260,-0.2500,8.8440
2022-09-08 10:00:00,USD,EIA Gasoline Stocks Change,-1.1720,-1.6670,0.3330
2022-09-09 09:00:00,USD,Wholesale Inventories MoM,1.8000,0.8000,0.6000
2022-09-13 07:30:00,USD,Core Inflation Rate MoM,0.3000,0.3000,0.6000
2022-09-13 07:30:00,USD,Core Inflation Rate YoY,5.9000,6.1000,6.3000
2022-09-13 07:30:00,USD,Inflation Rate YoY,8.5000,8.1000,8.3000
2022-09-13 07:30:00,USD,CPI,296.2760,295.5300,296.1710
2022-09-13 09:00:00,USD,IBD/TIPP Economic Optimism,38.1000,0.0000,44.7000
2022-09-13 13:00:00,USD,Monthly Budget Statement,-211.0000,-213.5000,-220.0000
2022-09-13 15:30:00,USD,API Crude Oil Stock Change,3.6450,-0.2000,6.0350
2022-09-14 07:30:00,USD,PPI MoM,-0.4000,-0.1000,-0.1000
2022-09-14 07:30:00,USD,Core PPI MoM,0.3000,0.3000,0.4000
2022-09-14 09:30:00,USD,EIA Crude Oil Stocks Change,8.8440,0.8330,2.4420
2022-09-14 09:30:00,USD,EIA Gasoline Stocks Change,0.3330,-0.8580,-1.7670
2022-09-15 07:30:00,USD,NY Empire State Manufacturing Index,-31.3000,-13.0000,-1.5000
2022-09-15 07:30:00,USD,Export Prices MoM,-3.7000,-1.2000,-1.6000
2022-09-15 07:30:00,USD,Philly Fed Employment,24.1000,0.0000,12.0000
2022-09-15 07:30:00,USD,Initial Jobless Claims,218.0000,226.0000,213.0000
2022-09-15 07:30:00,USD,Import Prices MoM,-1.5000,-1.2000,-1.0000
2022-09-15 07:30:00,USD,Philadelphia Fed Manufacturing Index,6.2000,2.8000,-9.9000
2022-09-15 08:00:00,USD,Industrial Production YoY,3.8000,0.0000,3.7000
2022-09-15 08:00:00,USD,Industrial Production MoM,0.5000,0.1000,-0.2000
2022-09-15 09:00:00,USD,Business Inventories MoM,1.4000,0.6000,0.6000
2022-09-16 09:00:00,USD,Michigan Consumer Sentiment Prel,58.2000,60.0000,59.5000
2022-09-16 15:00:00,USD,Net Long-term TIC Flows,121.8000,0.0000,21.4000
2022-09-19 09:00:00,USD,NAHB Housing Market Index,49.0000,47.0000,46.0000
2022-09-20 07:30:00,USD,Building Permits MoM,-0.6000,0.0000,-10.0000
2022-09-20 07:30:00,USD,Building Permits,1.6850,1.6100,1.5170
2022-09-20 07:30:00,USD,Housing Starts MoM,-10.9000,0.0000,12.2000
2022-09-20 07:30:00,USD,Housing Starts,1.4040,1.4450,1.5750
2022-09-20 15:30:00,USD,API Crude Oil Stock Change,6.0350,2.3210,1.0350
2022-09-21 09:00:00,USD,Existing Home Sales,4.8200,4.7000,4.8000
2022-09-21 09:00:00,USD,Existing Home Sales MoM,-5.7000,0.0000,-0.4000
2022-09-21 09:30:00,USD,EIA Gasoline Stocks Change,-1.7670,-0.4310,1.5690
2022-09-21 09:30:00,USD,EIA Crude Oil Stocks Change,2.4420,2.1610,1.1420
2022-09-21 13:00:00,USD,Interest Rate Projection - Longer,2.5000,0.0000,2.5000
2022-09-21 13:00:00,USD,Interest Rate Projection - 3rd Yr,2.1000,0.0000,2.9000
2022-09-21 13:00:00,USD,Interest Rate Projection - 1st Yr,3.8000,0.0000,4.6000
2022-09-21 13:00:00,USD,Interest Rate Projection - Current,3.4000,0.0000,4.4000
2022-09-21 13:00:00,USD,Interest Rate Projection - 2nd Yr,3.4000,0.0000,3.9000
2022-09-21 13:00:00,USD,Fed Interest Rate Decision,2.5000,3.2500,3.2500
2022-09-22 07:30:00,USD,Initial Jobless Claims,208.0000,218.0000,213.0000
2022-09-22 07:30:00,USD,Current Account,-282.5000,-260.6000,-251.1000
2022-09-23 09:00:00,USD,S&P Global Services PMI Flash,43.7000,45.0000,49.2000
2022-09-23 09:00:00,USD,S&P Global Composite PMI Flash,44.6000,0.0000,49.3000
2022-09-23 09:00:00,USD,S&P Global Manufacturing PMI Flash,51.5000,51.1000,51.8000
2022-09-26 09:30:00,USD,Dallas Fed Manufacturing Index,-12.9000,0.0000,-17.2000
2022-09-27 07:30:00,USD,Durable Goods Orders Ex Transp MoM,0.2000,0.2000,0.2000
2022-09-27 07:30:00,USD,Durable Goods Orders MoM,-0.1000,-0.4000,-0.2000
2022-09-27 08:00:00,USD,S&P/Case-Shiller Home Price YoY,18.7000,17.0000,16.1000
2022-09-27 08:00:00,USD,S&P/Case-Shiller Home Price MoM,0.4000,0.0000,-0.8000
2022-09-27 09:00:00,USD,CB Consumer Confidence,103.6000,104.5000,108.0000
2022-09-27 09:00:00,USD,New Home Sales,0.5320,0.5000,0.6850
2022-09-27 09:00:00,USD,New Home Sales MoM,-8.6000,0.0000,28.8000
2022-09-27 15:30:00,USD,API Crude Oil Stock Change,1.0350,0.3330,4.1500
2022-09-28 07:30:00,USD,Wholesale Inventories MoM Adv,0.6000,0.0000,1.3000
2022-09-28 07:30:00,USD,Retail Inventories Ex Autos MoM Adv,0.3000,0.0000,0.6000
2022-09-28 07:30:00,USD,Goods Trade Balance Adv,-90.1900,0.0000,-87.3000
2022-09-28 09:00:00,USD,Pending Home Sales MoM,-0.6000,-1.4000,-2.0000
2022-09-28 09:00:00,USD,Pending Home Sales YoY,-19.5000,0.0000,-24.2000
2022-09-28 09:30:00,USD,EIA Gasoline Stocks Change,1.5690,0.7090,-2.4220
2022-09-28 09:30:00,USD,EIA Crude Oil Stocks Change,1.1420,0.4430,-0.2150
2022-09-29 07:30:00,USD,GDP Growth Rate QoQ Final,-1.6000,-0.6000,-0.6000
2022-09-29 07:30:00,USD,Initial Jobless Claims,209.0000,215.0000,193.0000
2022-09-29 07:30:00,USD,GDP Price Index QoQ Final,8.3000,8.9000,9.1000
2022-10-03 09:00:00,USD,S&P Global Manufacturing PMI Final,51.5000,51.8000,52.0000
2022-10-03 09:00:00,USD,ISM Manufacturing PMI,52.8000,52.2000,50.9000
2022-10-03 09:00:00,USD,ISM Manufacturing Employment,54.2000,53.0000,48.7000
2022-10-04 09:00:00,USD,JOLTs Job Openings,11.1700,10.7750,10.0530
2022-10-04 15:30:00,USD,API Crude Oil Stock Change,4.1500,1.9660,-1.7700
2022-10-05 07:00:00,USD,ADP Employment Change,185.0000,200.0000,208.0000
